Ubigeo;Departamento;Total;0 - 4;5-Set;Oct-14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 -59;60 - 64;65 - 69;70 - 74;75 - 79;80 y más;Year
;Cajamarca;1,453,711;140,571;144,872;161,619;133,975;121,503;121,047;117,076;103,254;92,315;71,236;61,660;51,309;41,096;33,003;23,646;16,685;18,844;2020
;Prov. Const. del Callao;1,129,854;89,242;78,017;78,997;71,341;86,438;86,681;79,423;83,617;85,985;78,483;71,857;60,864;49,529;43,495;33,022;22,839;30,024;2020
;Cusco;1,357,075;127,541;122,536;133,477;114,991;114,756;119,813;115,224;100,313;85,019;67,275;61,609;55,552;44,306;34,196;24,548;16,584;19,335;2020
;Huancavelica;365,317;39,868;40,893;45,789;37,431;30,701;29,649;29,021;24,774;19,118;13,983;11,916;11,340;9,048;7,483;5,590;4,187;4,526;2020
;Huánuco;760,267;77,736;77,094;83,861;72,539;68,471;67,259;58,318;54,314;47,297;35,281;29,517;25,075;19,831;15,801;11,267;7,866;8,740;2020
;Ica;975,182;94,572;86,228;88,364;81,991;84,276;82,444;71,810;65,104;57,743;52,521;47,713;44,068;35,014;28,375;21,525;14,848;18,586;2020
;Junín;1,361,467;131,524;126,964;130,536;116,665;113,276;114,003;111,558;96,357;80,831;72,505;63,337;54,081;45,144;37,130;27,111;18,979;21,466;2020
;La Libertad;2,016,771;187,773;162,843;163,336;140,819;168,329;168,586;166,788;154,661;134,747;112,625;107,237;91,372;74,048;61,753;46,041;34,520;41,293;2020
;Lambayeque;1,310,785;115,383;108,125;111,936;97,832;109,050;104,465;101,022;91,964;84,105;75,704;72,443;61,725;50,804;43,411;31,452;22,095;29,269;2020
;Lima;10,628,470;720,786;640,089;692,731;684,911;863,050;885,313;840,819;852,287;813,331;735,681;672,459;578,985;458,363;398,498;302,215;216,131;272,821;2020
;Loreto;1,027,559;124,975;116,917;115,748;95,142;87,642;79,761;78,488;69,451;58,472;45,347;38,055;33,424;26,866;21,660;15,520;9,849;10,242;2020
;Madre de Dios;173,811;15,694;13,654;13,895;11,874;14,958;15,771;15,719;14,969;12,468;10,429;10,180;8,759;5,977;4,256;2,275;1,250;1,683;2020
;Moquegua;192,740;13,194;12,893;13,578;12,629;13,187;13,177;13,891;15,056;16,164;14,853;13,770;11,191;8,880;7,265;5,261;3,539;4,212;2020
;Pasco;271,904;24,831;25,158;27,601;22,908;21,742;20,511;20,677;21,941;19,369;16,182;13,659;10,941;8,215;6,427;4,620;3,111;4,011;2020
;Piura;2,047,954;182,142;174,020;186,917;165,886;173,322;181,604;160,151;149,878;139,724;110,984;101,109;87,967;73,909;61,334;38,535;28,010;32,462;2020
;Puno;1,237,997;110,917;110,092;113,526;105,122;103,747;106,797;99,187;87,188;76,681;71,403;59,353;49,967;41,136;33,736;26,136;19,195;23,814;2020
;San Martín;899,648;92,449;88,894;91,524;79,319;73,719;69,015;66,262;63,691;59,416;50,134;45,424;39,890;28,879;20,130;13,369;8,348;9,185;2020
;Tacna;370,974;25,429;23,312;25,219;25,303;29,590;29,076;29,474;30,141;30,955;26,465;25,136;21,498;16,015;12,512;8,717;5,883;6,249;2020
